SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude,CreateDate,relativealtitude
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094811_063.JPG,2021_0715_094811_063.JPG,58.6514078611111,-134.210123694444,1126.1,2021:07:15 09:48:11,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094814_064.JPG,2021_0715_094814_064.JPG,58.6513915833333,-134.210042305556,1126.3,2021:07:15 09:48:14,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094817_065.JPG,2021_0715_094817_065.JPG,58.6513671666667,-134.209944638889,1126.7,2021:07:15 09:48:17,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094820_066.JPG,2021_0715_094820_066.JPG,58.6513020833333,-134.209944638889,1126.5,2021:07:15 09:48:20,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094823_067.JPG,2021_0715_094823_067.JPG,58.6512288333333,-134.209912083333,1125.3,2021:07:15 09:48:23,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094826_068.JPG,2021_0715_094826_068.JPG,58.6512369722222,-134.209798166667,1124.6,2021:07:15 09:48:26,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094829_069.JPG,2021_0715_094829_069.JPG,58.6513183333333,-134.209749333333,1125.8,2021:07:15 09:48:29,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094832_070.JPG,2021_0715_094832_070.JPG,58.6513671666667,-134.209830722222,1128.1,2021:07:15 09:48:32,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094835_071.JPG,2021_0715_094835_071.JPG,58.6513590277778,0.35,1127.8,2021:07:15 09:48:35,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094838_072.JPG,2021_0715_094838_072.JPG,58.6513590277778,-134.209830722222,1127.7,2021:07:15 09:48:38,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094841_073.JPG,2021_0715_094841_073.JPG,58.6513346111111,-134.209765611111,1128.2,2021:07:15 09:48:41,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094844_074.JPG,2021_0715_094844_074.JPG,58.6512858055556,-134.209765611111,1128.5,2021:07:15 09:48:44,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094847_075.JPG,2021_0715_094847_075.JPG,58.6512451111111,-134.209716777778,1128.7,2021:07:15 09:48:47,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094850_076.JPG,2021_0715_094850_076.JPG,58.6512939444444,-134.209619138889,1129.3,2021:07:15 09:48:50,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094853_077.JPG,2021_0715_094853_077.JPG,58.6513508888889,-134.209456361111,1131.2,2021:07:15 09:48:53,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094856_078.JPG,2021_0715_094856_078.JPG,58.6513346111111,-134.209342444444,1132.2,2021:07:15 09:48:56,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094859_079.JPG,2021_0715_094859_079.JPG,58.6512776666667,-134.209326166667,1132.3,2021:07:15 09:48:59,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094902_080.JPG,2021_0715_094902_080.JPG,58.6512451111111,-134.209195944444,1132.8,2021:07:15 09:49:02,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094905_081.JPG,2021_0715_094905_081.JPG,58.6512858055556,-134.209049472222,1133.3,2021:07:15 09:49:05,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094908_082.JPG,2021_0715_094908_082.JPG,58.6513915833333,0,1133.7,2021:07:15 09:49:08,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094911_083.JPG,2021_0715_094911_083.JPG,58.6514729722222,-134.208951805556,1135,2021:07:15 09:49:11,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094914_084.JPG,2021_0715_094914_084.JPG,58.6514729722222,-134.208870416667,1134.3,2021:07:15 09:49:14,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094917_085.JPG,2021_0715_094917_085.JPG,58.6514485555556,-134.208837888889,1134.5,2021:07:15 09:49:17,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094920_086.JPG,2021_0715_094920_086.JPG,58.6514322777778,-134.2087565,1135.4,2021:07:15 09:49:20,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094923_087.JPG,2021_0715_094923_087.JPG,58.6513915833333,-134.208626277778,1136.6,2021:07:15 09:49:23,-
